,Type,Air temperature [K],Process temperature [K],Torque [Nm],Tool wear [min]
4649,1.0,0.9239130434782581,0.8518518518518547,0.1961620469083155,0.6600790513833992
16066,0.5,0.763518004033628,0.5665538157069747,0.6027837837903176,0.4229249011857707
17086,0.5,0.7459582126308248,0.6886801326484147,0.36706809207352864,0.8142292490118577
2993,0.0,0.5326086956521721,0.48148148148148806,0.6204690831556503,0.24110671936758893
8846,1.0,0.3152173913043441,0.3950617283950635,0.5159914712153517,0.26877470355731226
16400,0.5,0.40292581302081487,0.3620671892152245,0.6445116003181626,0.8695652173913043
12356,0.5,0.38378377377488704,0.4788388024608565,0.8877173928560702,0.8537549407114624
5113,0.5,0.8260869565217348,0.8148148148148167,0.3155650319829424,0.7312252964426877
17525,0.0,0.2612951650969464,0.31671910791300917,0.3843736432937488,0.8142292490118577
3023,0.5,0.5543478260869534,0.49382716049382935,0.23880597014925375,0.6007905138339921
17682,0.0,0.5895720402198847,0.5323495537051244,0.5477178809165995,0.826086956521739
5842,1.0,0.6304347826086953,0.6666666666666714,0.3752665245202559,0.6047430830039525
8706,0.5,0.2608695652173836,0.3703703703703738,0.4285714285714286,0.37549407114624506
378,1.0,0.2391304347826022,0.3333333333333357,0.6844349680170576,0.6205533596837944
12812,0.5,0.4038137799131647,0.5746592190612958,0.7024661245190309,0.901185770750988
9230,0.5,0.4021739130434767,0.5308641975308674,0.5970149253731343,0.14624505928853754
9233,0.5,0.4130434782608674,0.5432098765432158,0.5437100213219616,0.17391304347826086
9600,0.5,0.6273946778480166,0.5823913015105546,0.8898665049993786,0.7351778656126482
233,0.5,0.29347826086956275,0.2962962962963047,0.08955223880597007,0.7905138339920948
8407,1.0,0.21739130434782084,0.3950617283950635,0.09381663113006389,0.541501976284585
2316,0.5,0.38043478260869534,0.2962962962963047,0.7121535181236673,0.11067193675889328
1492,0.5,0.30434782608695343,0.308641975308646,0.4093816631130063,0.5968379446640316
3007,0.0,0.5543478260869534,0.5061728395061778,0.417910447761194,0.4229249011857707
10996,0.5,0.7730872036878864,0.5860369668540528,0.9854023995945032,0.3201581027667984
2520,1.0,0.4999999999999929,0.46913580246913966,0.7697228144989339,0.525691699604743
14795,0.5,0.49431459689283486,0.4866619500769005,0.7731870215337469,0.6877470355731224
12244,0.5,0.26992463581552784,0.3353942408021098,0.7928176235931814,0.7984189723320158
8169,1.0,0.22826086956521152,0.2716049382716008,0.6055437100213219,0.6245059288537549
12551,0.5,0.6300971616460416,0.4992412872481964,0.9339019189765458,0.07509881422924901
2061,0.5,0.46739130434782794,0.4320987654321016,0.3539445628997868,0.8735177865612648
3976,0.0,0.7608695652173907,0.6049382716049436,0.6098081023454158,0.450592885375494
3035,0.5,0.5434782608695627,0.48148148148148806,0.5394456289978677,0.7154150197628458
12721,0.5,0.298572860523322,0.2813448606469322,0.8720682302771854,0.7391304347826086
146,0.5,0.3369565217391255,0.3209876543209944,0.4818763326226013,0.7351778656126482
5870,0.5,0.5978260869565162,0.6172839506172849,0.16417910447761186,0.0
555,1.0,0.2717391304347814,0.49382716049382935,0.23880597014925375,0.7905138339920948
13715,0.5,0.7320300440278089,0.698601123612832,0.8811365743169388,0.6758893280632411
3424,0.0,0.7065217391304301,0.5925925925925952,0.394456289978678,0.5573122529644269
7891,0.5,0.36956521739129755,0.5308641975308674,0.24946695095948823,0.1660079051383399
6263,1.0,0.6847826086956488,0.6049382716049436,0.40085287846481865,0.0
7433,0.5,0.5108695652173907,0.6913580246913611,0.7057569296375266,0.6245059288537549
14392,0.5,0.4458962127858399,0.5227261381740647,0.2603672875937896,0.6442687747035573
11747,0.5,0.8258941548980303,0.7184309246944167,0.9199220939654684,0.592885375494071
17451,0.5,0.3929790450542683,0.5064471624117175,0.7729795478860844,0.8023715415019762
10206,1.0,0.6645439162704463,0.5730894764732426,0.1706280360721547,0.8695652173913043
11911,0.5,0.6298336035142356,0.6106740931014372,0.812149736035561,0.8023715415019762
14069,0.5,0.25721195856824863,0.34983333100889524,0.867844347271481,0.8023715415019762
5362,0.5,0.7934782608695627,0.790123456790127,0.36673773987206815,0.7272727272727272
6269,0.5,0.6739130434782581,0.6049382716049436,0.5692963752665244,0.07905138339920947
6384,1.0,0.6630434782608603,0.6049382716049436,0.6076759061833688,0.3794466403162055
8870,1.0,0.3260869565217348,0.4320987654321016,0.17484008528784645,0.5138339920948616
10241,0.5,0.18478260869564878,0.2592592592592595,0.8304401356742754,0.7905138339920948
